maxpool
latent size single: 16
[4736/15000], training loss: 0.0994
[4744/15000], training loss: 0.0730
[4752/15000], training loss: 0.0722
[4760/15000], training loss: 0.0841
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[4768/15000], training loss: 0.0699
[4776/15000], training loss: 0.0542
[4784/15000], training loss: 0.0970
[4792/15000], training loss: 0.0770
[4800/15000], training loss: 0.0714
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[4808/15000], training loss: 0.0677
[4816/15000], training loss: 0.0754
[4824/15000], training loss: 0.1071
[4832/15000], training loss: 0.0654
[4840/15000], training loss: 0.0791
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[4848/15000], training loss: 0.0817
[4856/15000], training loss: 0.0706
[4864/15000], training loss: 0.0558
[4872/15000], training loss: 0.0759
[4880/15000], training loss: 0.0663
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[4888/15000], training loss: 0.0695
[4896/15000], training loss: 0.0560
[4904/15000], training loss: 0.0705
[4912/15000], training loss: 0.0680
[4920/15000], training loss: 0.0659
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[4928/15000], training loss: 0.1115
[4936/15000], training loss: 0.0717
[4944/15000], training loss: 0.0987
[4952/15000], training loss: 0.0645
[4960/15000], training loss: 0.0659
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[4968/15000], training loss: 0.0778
[4976/15000], training loss: 0.0996
[4984/15000], training loss: 0.0710
[4992/15000], training loss: 0.0557
[5000/15000], training loss: 0.0889
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[5008/15000], training loss: 0.0735
[5016/15000], training loss: 0.0727
[5024/15000], training loss: 0.0736
[5032/15000], training loss: 0.0569
[5040/15000], training loss: 0.0652
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[5048/15000], training loss: 0.1108
[5056/15000], training loss: 0.0949
[5064/15000], training loss: 0.0621
[5072/15000], training loss: 0.0642
[5080/15000], training loss: 0.0658
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[5088/15000], training loss: 0.0653
[5096/15000], training loss: 0.0669
[5104/15000], training loss: 0.0559
[5112/15000], training loss: 0.0907
[5120/15000], training loss: 0.0865
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[5128/15000], training loss: 0.0801
[5136/15000], training loss: 0.0996
[5144/15000], training loss: 0.0739
[5152/15000], training loss: 0.0773
[5160/15000], training loss: 0.0709
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[5168/15000], training loss: 0.0659
[5176/15000], training loss: 0.0663
[5184/15000], training loss: 0.0819
[5192/15000], training loss: 0.0935
[5200/15000], training loss: 0.0862
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[5208/15000], training loss: 0.0846
[5216/15000], training loss: 0.0664
[5224/15000], training loss: 0.0971
[5232/15000], training loss: 0.0526
[5240/15000], training loss: 0.0835
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[5248/15000], training loss: 0.0789
[5256/15000], training loss: 0.0642
[5264/15000], training loss: 0.0687
[5272/15000], training loss: 0.0830
[5280/15000], training loss: 0.0800
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[5288/15000], training loss: 0.0732
[5296/15000], training loss: 0.0747
[5304/15000], training loss: 0.1333
[5312/15000], training loss: 0.0534
[5320/15000], training loss: 0.0807
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[5328/15000], training loss: 0.1151
[5336/15000], training loss: 0.0808
[5344/15000], training loss: 0.0651
[5352/15000], training loss: 0.0782
[5360/15000], training loss: 0.0844
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[5368/15000], training loss: 0.0871
[5376/15000], training loss: 0.0656
[5384/15000], training loss: 0.0950
[5392/15000], training loss: 0.0578
[5400/15000], training loss: 0.0756
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[5408/15000], training loss: 0.0889
[5416/15000], training loss: 0.0682
[5424/15000], training loss: 0.0856
[5432/15000], training loss: 0.0602
[5440/15000], training loss: 0.0684
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[5448/15000], training loss: 0.0866
[5456/15000], training loss: 0.0792
[5464/15000], training loss: 0.0751
[5472/15000], training loss: 0.0759
[5480/15000], training loss: 0.0932
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[5488/15000], training loss: 0.0773
[5496/15000], training loss: 0.0693
[5504/15000], training loss: 0.0816
[5512/15000], training loss: 0.0615
[5520/15000], training loss: 0.0752
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[5528/15000], training loss: 0.0855
[5536/15000], training loss: 0.0806
[5544/15000], training loss: 0.0553
[5552/15000], training loss: 0.0694
[5560/15000], training loss: 0.0798
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[5568/15000], training loss: 0.0647
[5576/15000], training loss: 0.0717
[5584/15000], training loss: 0.0931
[5592/15000], training loss: 0.0937
[5600/15000], training loss: 0.0697
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[5608/15000], training loss: 0.0641
[5616/15000], training loss: 0.0538
[5624/15000], training loss: 0.0851
[5632/15000], training loss: 0.0794
[5640/15000], training loss: 0.0656
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[5648/15000], training loss: 0.0590
[5656/15000], training loss: 0.0840
[5664/15000], training loss: 0.0952
[5672/15000], training loss: 0.0682
[5680/15000], training loss: 0.0592
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[5688/15000], training loss: 0.0729
[5696/15000], training loss: 0.0866
[5704/15000], training loss: 0.0648
[5712/15000], training loss: 0.0811
[5720/15000], training loss: 0.0799
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[5728/15000], training loss: 0.0693
[5736/15000], training loss: 0.0719
[5744/15000], training loss: 0.0789
[5752/15000], training loss: 0.0844
[5760/15000], training loss: 0.0661
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[5768/15000], training loss: 0.0892
[5776/15000], training loss: 0.0723
[5784/15000], training loss: 0.0687
[5792/15000], training loss: 0.0621
[5800/15000], training loss: 0.0744
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[5808/15000], training loss: 0.0736
[5816/15000], training loss: 0.0808
[5824/15000], training loss: 0.0524
[5832/15000], training loss: 0.0642
[5840/15000], training loss: 0.0600
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[5848/15000], training loss: 0.0667
[5856/15000], training loss: 0.0683
[5864/15000], training loss: 0.1055
[5872/15000], training loss: 0.0690
[5880/15000], training loss: 0.0605
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[5888/15000], training loss: 0.0554
[5896/15000], training loss: 0.0633
[5904/15000], training loss: 0.0589
[5912/15000], training loss: 0.0626
[5920/15000], training loss: 0.0726
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[5928/15000], training loss: 0.0974
[5936/15000], training loss: 0.1126
[5944/15000], training loss: 0.0760
[5952/15000], training loss: 0.0792
[5960/15000], training loss: 0.0852
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[5968/15000], training loss: 0.0701
[5976/15000], training loss: 0.0772
[5984/15000], training loss: 0.0677
[5992/15000], training loss: 0.0652
[6000/15000], training loss: 0.0639
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[6008/15000], training loss: 0.0622
[6016/15000], training loss: 0.0756
[6024/15000], training loss: 0.0778
[6032/15000], training loss: 0.0705
[6040/15000], training loss: 0.0678
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[6048/15000], training loss: 0.0917
[6056/15000], training loss: 0.0563
[6064/15000], training loss: 0.0731
[6072/15000], training loss: 0.0727
[6080/15000], training loss: 0.0697
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[6088/15000], training loss: 0.0612
[6096/15000], training loss: 0.0552
[6104/15000], training loss: 0.0724
[6112/15000], training loss: 0.0693
[6120/15000], training loss: 0.0808
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[6128/15000], training loss: 0.1079
[6136/15000], training loss: 0.0720
[6144/15000], training loss: 0.0772
[6152/15000], training loss: 0.0565
[6160/15000], training loss: 0.0778
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[6168/15000], training loss: 0.0579
[6176/15000], training loss: 0.0594
[6184/15000], training loss: 0.0691
[6192/15000], training loss: 0.0750
[6200/15000], training loss: 0.0615
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[6208/15000], training loss: 0.0819
[6216/15000], training loss: 0.0547
[6224/15000], training loss: 0.0554
[6232/15000], training loss: 0.0730
[6240/15000], training loss: 0.0656
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[6248/15000], training loss: 0.0725
[6256/15000], training loss: 0.0715
[6264/15000], training loss: 0.0514
[6272/15000], training loss: 0.0543
[6280/15000], training loss: 0.0781
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[6288/15000], training loss: 0.0869
[6296/15000], training loss: 0.0681
[6304/15000], training loss: 0.0511
[6312/15000], training loss: 0.0794
[6320/15000], training loss: 0.0720
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[6328/15000], training loss: 0.0552
[6336/15000], training loss: 0.0763
[6344/15000], training loss: 0.0702
[6352/15000], training loss: 0.0755
[6360/15000], training loss: 0.0517
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[6368/15000], training loss: 0.0615
[6376/15000], training loss: 0.0573
[6384/15000], training loss: 0.0637
[6392/15000], training loss: 0.0731
[6400/15000], training loss: 0.0550
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[6408/15000], training loss: 0.0653
[6416/15000], training loss: 0.0795
[6424/15000], training loss: 0.0594
[6432/15000], training loss: 0.0704
[6440/15000], training loss: 0.0682
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[6448/15000], training loss: 0.0501
[6456/15000], training loss: 0.0630
[6464/15000], training loss: 0.0860
[6472/15000], training loss: 0.0933
[6480/15000], training loss: 0.0784
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[6488/15000], training loss: 0.0652
[6496/15000], training loss: 0.0705
[6504/15000], training loss: 0.0675
[6512/15000], training loss: 0.0853
[6520/15000], training loss: 0.0724
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[6528/15000], training loss: 0.0746
[6536/15000], training loss: 0.0568
[6544/15000], training loss: 0.0968
[6552/15000], training loss: 0.0506
[6560/15000], training loss: 0.0623
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[6568/15000], training loss: 0.0957
[6576/15000], training loss: 0.0734
[6584/15000], training loss: 0.0602
[6592/15000], training loss: 0.0812
[6600/15000], training loss: 0.0747
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[6608/15000], training loss: 0.0586
[6616/15000], training loss: 0.0703
[6624/15000], training loss: 0.0602
[6632/15000], training loss: 0.0758
[6640/15000], training loss: 0.0485
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[6648/15000], training loss: 0.0931
[6656/15000], training loss: 0.0611
[6664/15000], training loss: 0.0518
[6672/15000], training loss: 0.0624
[6680/15000], training loss: 0.0636
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[6688/15000], training loss: 0.0743
[6696/15000], training loss: 0.0522
[6704/15000], training loss: 0.0704
[6712/15000], training loss: 0.0744
[6720/15000], training loss: 0.0821
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[6728/15000], training loss: 0.0822
[6736/15000], training loss: 0.0881
[6744/15000], training loss: 0.0707
[6752/15000], training loss: 0.0585
[6760/15000], training loss: 0.0538
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[6768/15000], training loss: 0.0780
[6776/15000], training loss: 0.1028
[6784/15000], training loss: 0.0678
[6792/15000], training loss: 0.0526
[6800/15000], training loss: 0.0830
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[6808/15000], training loss: 0.0715
[6816/15000], training loss: 0.0526
[6824/15000], training loss: 0.0557
[6832/15000], training loss: 0.0735
[6840/15000], training loss: 0.0593
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[6848/15000], training loss: 0.0656
[6856/15000], training loss: 0.0627
[6864/15000], training loss: 0.0789
[6872/15000], training loss: 0.0596
[6880/15000], training loss: 0.0744
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[6888/15000], training loss: 0.0636
[6896/15000], training loss: 0.0636
[6904/15000], training loss: 0.0643
[6912/15000], training loss: 0.0704
[6920/15000], training loss: 0.0772
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[6928/15000], training loss: 0.0720
[6936/15000], training loss: 0.0597
[6944/15000], training loss: 0.0477
[6952/15000], training loss: 0.0631
[6960/15000], training loss: 0.0627
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[6968/15000], training loss: 0.0635
[6976/15000], training loss: 0.0708
[6984/15000], training loss: 0.0670
[6992/15000], training loss: 0.0673
[7000/15000], training loss: 0.0903
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[7008/15000], training loss: 0.0607
[7016/15000], training loss: 0.0542
[7024/15000], training loss: 0.0624
[7032/15000], training loss: 0.0475
[7040/15000], training loss: 0.0631
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[7048/15000], training loss: 0.0622
[7056/15000], training loss: 0.0711
[7064/15000], training loss: 0.0800
[7072/15000], training loss: 0.0580
[7080/15000], training loss: 0.0578
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[7088/15000], training loss: 0.0884
[7096/15000], training loss: 0.0812
[7104/15000], training loss: 0.1032
[7112/15000], training loss: 0.0719
[7120/15000], training loss: 0.0568
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[7128/15000], training loss: 0.0654
[7136/15000], training loss: 0.0980
[7144/15000], training loss: 0.0826
[7152/15000], training loss: 0.0556
[7160/15000], training loss: 0.0585
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[7168/15000], training loss: 0.0662
[7176/15000], training loss: 0.0700
[7184/15000], training loss: 0.0623
[7192/15000], training loss: 0.0751
[7200/15000], training loss: 0.0509
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[7208/15000], training loss: 0.0619
[7216/15000], training loss: 0.0610
[7224/15000], training loss: 0.0816
[7232/15000], training loss: 0.0676
[7240/15000], training loss: 0.0625
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[7248/15000], training loss: 0.0673
[7256/15000], training loss: 0.0640
[7264/15000], training loss: 0.0538
[7272/15000], training loss: 0.0701
[7280/15000], training loss: 0.0847
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[7288/15000], training loss: 0.0826
[7296/15000], training loss: 0.0544
[7304/15000], training loss: 0.0755
[7312/15000], training loss: 0.0778
[7320/15000], training loss: 0.0864
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[7328/15000], training loss: 0.0758
[7336/15000], training loss: 0.0695
[7344/15000], training loss: 0.0599
[7352/15000], training loss: 0.0671
[7360/15000], training loss: 0.0683
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[7368/15000], training loss: 0.0808
[7376/15000], training loss: 0.0757
[7384/15000], training loss: 0.0673
[7392/15000], training loss: 0.0604
[7400/15000], training loss: 0.0601
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[7408/15000], training loss: 0.0511
[7416/15000], training loss: 0.0506
[7424/15000], training loss: 0.0709
[7432/15000], training loss: 0.0813
[7440/15000], training loss: 0.0850
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[7448/15000], training loss: 0.0944
[7456/15000], training loss: 0.0609
[7464/15000], training loss: 0.0651
[7472/15000], training loss: 0.0706
[7480/15000], training loss: 0.0570
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[7488/15000], training loss: 0.0775
[7496/15000], training loss: 0.0616
[7504/15000], training loss: 0.0724
[7512/15000], training loss: 0.0544
[7520/15000], training loss: 0.0680
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[7528/15000], training loss: 0.0817
[7536/15000], training loss: 0.0720
[7544/15000], training loss: 0.0918
[7552/15000], training loss: 0.0759
[7560/15000], training loss: 0.0677
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[7568/15000], training loss: 0.0710
[7576/15000], training loss: 0.0745
[7584/15000], training loss: 0.0718
[7592/15000], training loss: 0.0637
[7600/15000], training loss: 0.0648
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[7608/15000], training loss: 0.0644
[7616/15000], training loss: 0.0646
[7624/15000], training loss: 0.0668
[7632/15000], training loss: 0.0778
[7640/15000], training loss: 0.0928
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[7648/15000], training loss: 0.0638
[7656/15000], training loss: 0.0656
[7664/15000], training loss: 0.0709
[7672/15000], training loss: 0.0708
[7680/15000], training loss: 0.0596
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[7688/15000], training loss: 0.0899
[7696/15000], training loss: 0.0711
[7704/15000], training loss: 0.0781
[7712/15000], training loss: 0.0642
[7720/15000], training loss: 0.0590
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[7728/15000], training loss: 0.0697
[7736/15000], training loss: 0.0623
[7744/15000], training loss: 0.0487
[7752/15000], training loss: 0.0623
[7760/15000], training loss: 0.0710
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[7768/15000], training loss: 0.1084
[7776/15000], training loss: 0.0665
[7784/15000], training loss: 0.0532
[7792/15000], training loss: 0.0934
[7800/15000], training loss: 0.0565
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[7808/15000], training loss: 0.0666
[7816/15000], training loss: 0.0780
[7824/15000], training loss: 0.0659
[7832/15000], training loss: 0.0560
[7840/15000], training loss: 0.0746
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[7848/15000], training loss: 0.0532
[7856/15000], training loss: 0.0769
[7864/15000], training loss: 0.0901
[7872/15000], training loss: 0.0703
[7880/15000], training loss: 0.0534
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[7888/15000], training loss: 0.0720
[7896/15000], training loss: 0.0822
[7904/15000], training loss: 0.0739
[7912/15000], training loss: 0.0516
[7920/15000], training loss: 0.1059
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[7928/15000], training loss: 0.0584
[7936/15000], training loss: 0.0839
[7944/15000], training loss: 0.0722
[7952/15000], training loss: 0.0693
[7960/15000], training loss: 0.0685
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[7968/15000], training loss: 0.1088
[7976/15000], training loss: 0.0548
[7984/15000], training loss: 0.0547
[7992/15000], training loss: 0.0787
[8000/15000], training loss: 0.0533
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[8008/15000], training loss: 0.0735
[8016/15000], training loss: 0.0674
[8024/15000], training loss: 0.0589
[8032/15000], training loss: 0.0714
[8040/15000], training loss: 0.0538
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[8048/15000], training loss: 0.0596
[8056/15000], training loss: 0.0624
[8064/15000], training loss: 0.0718
[8072/15000], training loss: 0.0532
[8080/15000], training loss: 0.0658
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[8088/15000], training loss: 0.0716
[8096/15000], training loss: 0.0558
[8104/15000], training loss: 0.0917
[8112/15000], training loss: 0.0645
[8120/15000], training loss: 0.0960
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[8128/15000], training loss: 0.0809
[8136/15000], training loss: 0.0776
[8144/15000], training loss: 0.0689
[8152/15000], training loss: 0.0729
[8160/15000], training loss: 0.0739
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[8168/15000], training loss: 0.1050
[8176/15000], training loss: 0.0616
[8184/15000], training loss: 0.0768
[8192/15000], training loss: 0.0982
[8200/15000], training loss: 0.0638
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[8208/15000], training loss: 0.0741
[8216/15000], training loss: 0.0577
[8224/15000], training loss: 0.0590
[8232/15000], training loss: 0.0612
[8240/15000], training loss: 0.0804
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[8248/15000], training loss: 0.0584
[8256/15000], training loss: 0.0606
[8264/15000], training loss: 0.0634
[8272/15000], training loss: 0.0659
[8280/15000], training loss: 0.0672
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[8288/15000], training loss: 0.0622
[8296/15000], training loss: 0.0701
[8304/15000], training loss: 0.0485
[8312/15000], training loss: 0.0847
[8320/15000], training loss: 0.0763
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[8328/15000], training loss: 0.0912
[8336/15000], training loss: 0.0642
[8344/15000], training loss: 0.0826
[8352/15000], training loss: 0.0551
[8360/15000], training loss: 0.0588
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[8368/15000], training loss: 0.0676
[8376/15000], training loss: 0.0583
[8384/15000], training loss: 0.0994
[8392/15000], training loss: 0.0724
[8400/15000], training loss: 0.0537
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[8408/15000], training loss: 0.0804
[8416/15000], training loss: 0.0702
[8424/15000], training loss: 0.0692
[8432/15000], training loss: 0.0747
[8440/15000], training loss: 0.0609
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[8448/15000], training loss: 0.0728
[8456/15000], training loss: 0.0535
[8464/15000], training loss: 0.0530
[8472/15000], training loss: 0.0700
[8480/15000], training loss: 0.0656
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[8488/15000], training loss: 0.0828
[8496/15000], training loss: 0.0511
[8504/15000], training loss: 0.0679
[8512/15000], training loss: 0.0487
[8520/15000], training loss: 0.0916
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[8528/15000], training loss: 0.0626
[8536/15000], training loss: 0.0535
[8544/15000], training loss: 0.0521
[8552/15000], training loss: 0.0696
[8560/15000], training loss: 0.0750
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[8568/15000], training loss: 0.0533
[8576/15000], training loss: 0.0978
[8584/15000], training loss: 0.0572
[8592/15000], training loss: 0.0688
[8600/15000], training loss: 0.0697
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[8608/15000], training loss: 0.0547
[8616/15000], training loss: 0.0586
[8624/15000], training loss: 0.0515
[8632/15000], training loss: 0.0597
[8640/15000], training loss: 0.0615
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[8648/15000], training loss: 0.0571
[8656/15000], training loss: 0.0595
[8664/15000], training loss: 0.0770
[8672/15000], training loss: 0.0544
[8680/15000], training loss: 0.0818
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[8688/15000], training loss: 0.0666
[8696/15000], training loss: 0.0563
[8704/15000], training loss: 0.0617
[8712/15000], training loss: 0.0764
[8720/15000], training loss: 0.0663
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[8728/15000], training loss: 0.0548
[8736/15000], training loss: 0.0678
[8744/15000], training loss: 0.0562
[8752/15000], training loss: 0.0669
[8760/15000], training loss: 0.0760
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[8768/15000], training loss: 0.0749
[8776/15000], training loss: 0.0505
[8784/15000], training loss: 0.0608
[8792/15000], training loss: 0.0530
[8800/15000], training loss: 0.0702
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[8808/15000], training loss: 0.0754
[8816/15000], training loss: 0.0592
[8824/15000], training loss: 0.0753
[8832/15000], training loss: 0.0592
[8840/15000], training loss: 0.0821
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[8848/15000], training loss: 0.0702
[8856/15000], training loss: 0.0535
[8864/15000], training loss: 0.0634
[8872/15000], training loss: 0.0515
[8880/15000], training loss: 0.0629
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[8888/15000], training loss: 0.0761
[8896/15000], training loss: 0.0896
[8904/15000], training loss: 0.1067
[8912/15000], training loss: 0.0892
[8920/15000], training loss: 0.0745
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[8928/15000], training loss: 0.0696
[8936/15000], training loss: 0.0565
[8944/15000], training loss: 0.0619
[8952/15000], training loss: 0.0789
[8960/15000], training loss: 0.0556
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[8968/15000], training loss: 0.0636
[8976/15000], training loss: 0.0636
[8984/15000], training loss: 0.0609
[8992/15000], training loss: 0.0602
[9000/15000], training loss: 0.0720
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[9008/15000], training loss: 0.0577
[9016/15000], training loss: 0.0601
[9024/15000], training loss: 0.0584
[9032/15000], training loss: 0.0612
[9040/15000], training loss: 0.0621
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[9048/15000], training loss: 0.0788
[9056/15000], training loss: 0.0793
[9064/15000], training loss: 0.0610
[9072/15000], training loss: 0.0627
[9080/15000], training loss: 0.0621
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[9088/15000], training loss: 0.0517
[9096/15000], training loss: 0.0548
[9104/15000], training loss: 0.0585
[9112/15000], training loss: 0.0653
[9120/15000], training loss: 0.0720
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[9128/15000], training loss: 0.0695
[9136/15000], training loss: 0.0717
[9144/15000], training loss: 0.0547
[9152/15000], training loss: 0.0848
[9160/15000], training loss: 0.0567
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[9168/15000], training loss: 0.0547
[9176/15000], training loss: 0.0706
[9184/15000], training loss: 0.0609
[9192/15000], training loss: 0.0546
[9200/15000], training loss: 0.0522
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[9208/15000], training loss: 0.0719
[9216/15000], training loss: 0.0639
[9224/15000], training loss: 0.0623
[9232/15000], training loss: 0.0699
[9240/15000], training loss: 0.0636
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[9248/15000], training loss: 0.1061
[9256/15000], training loss: 0.0816
[9264/15000], training loss: 0.0693
[9272/15000], training loss: 0.0557
[9280/15000], training loss: 0.0603
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[9288/15000], training loss: 0.0575
[9296/15000], training loss: 0.0555
[9304/15000], training loss: 0.0498
[9312/15000], training loss: 0.0590
[9320/15000], training loss: 0.0551
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[9328/15000], training loss: 0.0859
[9336/15000], training loss: 0.0794
[9344/15000], training loss: 0.0558
[9352/15000], training loss: 0.0544
[9360/15000], training loss: 0.0578
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[9368/15000], training loss: 0.0569
[9376/15000], training loss: 0.0545
[9384/15000], training loss: 0.0775
[9392/15000], training loss: 0.0556
[9400/15000], training loss: 0.0732
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[9408/15000], training loss: 0.0745
[9416/15000], training loss: 0.0675
[9424/15000], training loss: 0.0525
[9432/15000], training loss: 0.0788
